2026-06-16 07:18:05.575984 |  | 8014b0 | ALT:22475 | SPD:415 | LAT:0.0 | LON:0.0
2026-06-16 07:26:46.555878 |  | 706210 | ALT:36000 | SPD:438 | LAT:0.0 | LON:0.0
2026-06-16 07:28:55.339441 |  | 8015c9 | ALT:37000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 07:38:23.110828 |  | 800728 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 07:40:04.549776 |  | 801726 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 07:43:58.293167 |  | 801408 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 07:47:46.913286 |  | 80169f | ALT:37000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 07:53:27.035060 |  | 8015d9 | ALT:36000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 08:01:49.195704 |  | 801849 | ALT:31000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 08:01:51.882875 |  | 800bc4 | ALT:0 | SPD:445 | LAT:0.0 | LON:0.0
2026-06-16 08:06:38.354171 |  | 8852e2 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 08:25:44.958594 |  | 4851f6 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 08:28:29.657044 |  | 800c12 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 08:30:34.463653 |  | 80163c | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 08:37:48.777751 |  | 407c8a | ALT:36000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 08:38:11.650701 |  | 80160d | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 08:52:50.206717 |  | 7bd022 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 08:54:25.900516 |  | 76cce7 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 08:55:52.942467 | AIC6KF | 8013fe | ALT:37025 | SPD:468 | LAT:0.0 | LON:0.0
2026-06-16 08:56:23.355179 |  | 70aa79 | ALT:11600 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 08:59:10.879367 |  | 8850b8 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 09:08:47.765024 |  | 8015e5 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 09:09:55.679945 |  | 3c670e | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 09:11:29.731640 |  | 8016b5 | ALT:36975 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 09:11:55.815812 |  | 3c4581 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 09:18:27.542867 |  | 800ce8 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 09:21:14.947038 |  | 3c4ada | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 09:21:46.471089 |  | 8014d3 | ALT:0 | SPD:441 | LAT:0.0 | LON:0.0
2026-06-16 09:22:21.534204 |  | 8014ae | ALT:28700 | SPD:431 | LAT:0.0 | LON:0.0
2026-06-16 09:27:56.501764 |  | 80152f | ALT:28900 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 09:30:23.098987 |  | 151e72 | ALT:0 | SPD:496 | LAT:0.0 | LON:0.0
2026-06-16 09:32:20.732666 |  | 801799 | ALT:35000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 09:35:52.103082 |  | 8016a3 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 09:46:02.614186 |  | 3a3493 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 09:46:33.048145 |  | 4b191b | ALT:0 | SPD:514 | LAT:0.0 | LON:0.0
2026-06-16 09:55:05.373890 |  | 8018a8 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 09:55:36.512882 |  | 899000 | ALT:0 | SPD:507 | LAT:0.0 | LON:0.0
2026-06-16 09:58:28.882478 |  | 4bb144 | ALT:33000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 09:58:54.445705 |  | 4bb109 | ALT:39000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 09:59:34.951649 |  | 800da2 | ALT:30900 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 10:07:47.818148 |  | 4bb143 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
